label,lat,lon,period,start,end,lc_water_pct,lc_water_conf,lc_trees_pct,lc_trees_conf,lc_grass_pct,lc_grass_conf,lc_flooded_vegetation_pct,lc_flooded_vegetation_conf,lc_crops_pct,lc_crops_conf,lc_shrub_and_scrub_pct,lc_shrub_and_scrub_conf,lc_built_pct,lc_built_conf,lc_bare_pct,lc_bare_conf
lat26_667417_lonn99_159667,26.667417,-99.159667,historical_2016,2016-05-01,2016-08-01,57.89,0.5789,10.69,0.1069,6.12,0.0612,0.48,0.0048,0.27,0.0027,22.96,0.2296,0.0,0.0,1.61,0.0161
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2017,2017-05-01,2017-08-01,45.85,0.4585,6.97,0.0697,17.58,0.1758,0.69,0.0069,0.16,0.0016,26.28,0.2628,0.0,0.0,2.46,0.0246
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2018,2018-05-01,2018-08-01,41.33,0.4133,11.59,0.1159,18.27,0.1827,0.06,0.0006,0.87,0.0087,23.95,0.2395,0.0,0.0,3.94,0.0394
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2019,2019-05-01,2019-08-01,48.94,0.4894,7.32,0.0732,7.8,0.078,0.18,0.0018,2.26,0.0226,30.24,0.3024,0.0,0.0,3.26,0.0326
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2020,2020-05-01,2020-08-01,38.2,0.382,8.54,0.0854,17.25,0.1725,0.14,0.0014,1.15,0.0115,30.27,0.3027,0.0,0.0,4.45,0.0445
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2021,2021-05-01,2021-08-01,35.93,0.3593,10.0,0.1,23.43,0.2343,0.5,0.005,0.5,0.005,27.6,0.276,0.0,0.0,2.03,0.0203
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2022,2022-05-01,2022-08-01,33.28,0.3328,7.79,0.0779,14.24,0.1424,0.65,0.0065,0.79,0.0079,39.54,0.3954,0.01,0.0001,3.7,0.037
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2023,2023-05-01,2023-08-01,40.66,0.4066,8.45,0.0845,3.87,0.0387,0.57,0.0057,1.82,0.0182,42.53,0.4253,0.0,0.0,2.1,0.021
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2024,2024-05-01,2024-08-01,25.03,0.2503,12.78,0.1278,7.01,0.0701,0.69,0.0069,8.31,0.0831,38.55,0.3855,0.0,0.0,7.63,0.0763
lat26_667417_lonn99_159667,26.667417,-99.159667,recent_2025,2025-05-01,2025-08-01,27.36,0.2736,17.72,0.1772,17.51,0.1751,0.31,0.0031,1.89,0.0189,33.07,0.3307,0.0,0.0,2.14,0.0214
